n1,n2,weight
173,21,-1.0
2089,21,-1.0
2090,21,-1.0
2091,21,-1.0
2092,21,-1.0
2093,21,-1.0
2094,21,-1.0
174,21,-1.0
175,21,-1.0
1221,418,-1.0
1222,418,-1.0
528,527,-1.0
828,294,1.0
829,294,-1.0
830,294,-1.0
831,294,-1.0
1268,477,-1.0
1269,477,-1.0
118,401,-1.0
722,258,1.0
723,258,1.0
724,258,1.0
725,258,1.0
1192,1067,1.0
1193,1067,1.0
1194,1067,1.0
1195,1067,1.0
1196,1067,1.0
1197,1067,1.0
543,167,1.0
1173,1045,-1.0
1174,1045,-1.0
856,301,-1.0
857,301,-1.0
869,311,1.0
870,311,1.0
871,311,1.0
872,311,1.0
2095,311,-1.0
873,311,-1.0
2096,311,-1.0
2097,311,-1.0
2098,311,-1.0
2099,513,-1.0
1289,513,-1.0
2100,828,-1.0
2101,828,-1.0
2102,828,-1.0
2103,828,-1.0
1502,828,-1.0
2104,828,-1.0
659,657,-1.0
661,657,-1.0
1350,657,-1.0
1567,938,1.0
1568,938,1.0
1569,938,1.0
1570,938,1.0
1571,938,-1.0
2105,1560,-1.0
1165,1041,-1.0
1166,1041,-1.0
1167,1041,-1.0
2106,199,-1.0
2107,210,1.0
2108,210,1.0
2109,210,1.0
1561,896,-1.0
1562,896,-1.0
2110,569,-1.0
1330,587,-1.0
1331,587,-1.0
1325,565,-1.0
2111,111,-1.0
386,111,-1.0
704,255,1.0
705,255,1.0
706,255,1.0
707,255,1.0
708,255,1.0
709,255,1.0
710,255,1.0
711,255,-1.0
1688,1446,1.0
1689,1446,1.0
1690,1446,1.0
1306,547,1.0
1597,947,1.0
1598,947,1.0
1599,947,1.0
1600,947,1.0
1601,947,1.0
1602,947,-1.0
2112,663,-1.0
1563,904,-1.0
910,48,-1.0
911,48,-1.0
2113,488,-1.0
1274,488,-1.0
1275,488,-1.0
2114,1081,-1.0
1387,681,-1.0
2115,681,-1.0
1388,681,-1.0
2116,681,-1.0
2117,681,-1.0
1389,681,-1.0
1027,77,1.0
1028,77,1.0
1029,77,1.0
1030,77,1.0
1031,77,-1.0
1032,77,-1.0
1498,822,-1.0
615,222,-1.0
652,241,-1.0
807,1479,1.0
2118,1479,1.0
808,1479,1.0
809,1479,1.0
810,1479,1.0
2119,1479,1.0
2120,1479,1.0
2121,1479,-1.0
2122,1479,-1.0
795,1479,-1.0
811,1479,-1.0
2123,1479,-1.0
812,1479,-1.0
813,1479,-1.0
2124,496,-1.0
1319,556,-1.0
273,37,1.0
274,37,1.0
275,37,1.0
276,37,1.0
277,37,1.0
2125,37,1.0
278,37,-1.0
279,37,-1.0
280,37,-1.0
281,37,-1.0
282,37,-1.0
